,ニトリ,DCM,コメリ,コーナン
2022年2月,99,95.2,97.7,97.1
2022年1月,102.5,96.9,98.6,97.7
2021年12月,89.9,95.1,96.9,95.8
2021年11月,93.3,95.5,99.8,98.5
2021年10月,83.2,100.2,101,101.3
2021年9月,99.7,99.1,98.1,100.7
2021年8月,81.5,87.4,86.5,88.5
2021年7月,76.7,99,100.6,99
2021年6月,79.5,90.2,91,94.6
2021年5月,96.4,92.3,88.9,94.9
2021年4月,102.3,99.2,100.3,98.3
2021年3月,94.2,99.9,103.5,100.7
2021年2月,110.3,100.7,102.6,101.7
2021年1月,96.6,117.5,116.5,115.8
2020年12月,119.4,111.9,110.2,111.6
2020年11月,113.5,107.1,103.8,108.8
2020年10月,102,111.7,115.3,112.9
2020年9月,98.5,88.4,89.4,91.9
2020年8月,115,111.9,113.7,118.3
2020年7月,122.7,111.7,108.9,113.8
2020年6月,147.5,119.4,120.1,115.7
2020年5月,100.8,115.6,117.5,121.7
2020年4月,96,105.9,108.4,112.4
2020年3月,110.9,104.2,104,109.1
2020年2月,101.6,106.5,106.9,112.6
2020年1月,97.1,95.7,94.9,101.1
2019年12月,92.7,91.8,92.1,98.2
2019年11月,93.1,94.2,95.8,100
2019年10月,113.1,89.1,88.2,92
2019年9月,119.5,108.9,117.8,109.7
2019年8月,108.9,103.1,102.7,106.4
2019年7月,94.4,90.8,92.7,93.6
2019年6月,105.9,96.5,97.3,100.6
2019年5月,105.7,102.2,104.1,107.1
2019年4月,103.9,94.1,94.8,99.1
2019年3月,105.4,96.5,95.4,100.8
2019年2月,98.9,97,96,100.2
2019年1月,107.9,93.9,94,101
