,吉野家,すき家,松屋
2022年2月,106.1 ,111.4 ,96.8 
2022年1月,104.0 ,110.9 ,100.2 
2021年12月,107.4 ,118.2 ,96.5 
2021年11月,108.7 ,104.6 ,99.1 
2021年10月,98.7 ,105.4 ,89.7 
2021年9月,102.2 ,103.0 ,93.0 
2021年8月,107.3 ,100.5 ,96.1 
2021年7月,95.9 ,108.7 ,95.5 
2021年6月,99.6 ,108.9 ,98.8 
2021年5月,99.4 ,118.1 ,112.2 
2021年4月,89.9 ,114.2 ,108.9 
2021年3月,89.5 ,104.6 ,91.6 
2021年2月,82.9 ,92.1 ,81.0 
2021年1月,90.5 ,99.8 ,84.9 
2020年12月,88.8 ,101.3 ,91.0 
2020年11月,93.4 ,100.5 ,91.1 
2020年10月,100.4 ,104.9 ,97.1 
2020年9月,90.8 ,98.4 ,85.3 
2020年8月,83.2 ,98.8 ,87.6 
2020年7月,94.3 ,102.7 ,88.4 
2020年6月,87.7 ,91.3 ,83.3 
2020年5月,92.7 ,90.8 ,77.8 
2020年4月,96.0 ,88.1 ,77.8 
2020年3月,98.2 ,92.2 ,94.8 
2020年2月,97.9 ,110.0 ,115.5 
2020年1月,109.5 ,101.9 ,106.4 
2019年12月,111.3 ,102.8 ,106.6 
2019年11月,107.3 ,103.1 ,104.2 
2019年10月,108.2 ,100.8 ,103.6 
2019年9月,104.6 ,103.9 ,107.0 
2019年8月,113.9 ,103.5 ,106.1 
2019年7月,102.6 ,98.6 ,107.4 
2019年6月,107.1 ,103.3 ,104.0 
2019年5月,105.2 ,104.0 ,104.4 
2019年4月,104.8 ,104.8 ,104.5 
2019年3月,108.1 ,103.8 ,104.3 
2019年2月,92.6 ,103.0 ,100.7 
2019年1月,96.7 ,103.7 ,102.2 
